ID,Name,Lat,Lon
74619,Superior Valley Gunnery Range,36.3333,-117.1
74629,"White Sands, Nm.",32.4,-106.3333
74630,"Stallion U. S. Army Airfield, Nm",33.8167,-106.6667
74631,"White Sands Missile Range Site No. 32, Nm",33.1667,-106.4833
74635,"Aztec, Nm.",36.8333,-107.9
74638,Melrose Gunnery Range,34.3,-103.8
74640,"Vici, Ok.",36.0667,-99.2167
74641,"Woodward, West Woodward Airport",36.4333,-99.5167
74643,Hominy Municipal,36.4333,-96.3833
74645,Henryetta Municipal,35.4,-96.0167
74646,Sulphur Municipal,34.5167,-96.9833
74647,"Lamont, Ok.",36.6833,-97.4667
74648,"Haskell, Ok.",35.8,-95.7833
74649,"Purcell, Ok.",34.9833,-97.5167
74662,"Bloomfield, Mo.",36.8833,-89.9667
74671,Fort Campbell U. S. Army Airfield,36.6667,-87.5
74693,Fort Bragg / Simmons Army Airfield,35.1333,-78.9333
74695,Dare County Gunnery Range,35.6667,-75.9
74696,Diamond Shoals Coast Guard Station,35.15,-75.3
74699,"Frying Pan Shoals, Nc.",33.4833,-77.5833
74702,Lemoore Naval Air Station,36.3333,-119.95
74718,"Salton Sea, Ca. Airways Facilities Sector",33.2167,-115.8667
74724,Gila Bend U. S. Army Airfield,32.4333,-112.6833
74730,Sanderson,30.1667,-102.4167
74731,Tucumcari,35.0833,-103.6167
74732,Holloman Air Force Base,32.85,-106.1
74733,Northrup Landing Strip,33.9,-106.4
74734,White Sands Missile Range Site No. 39,32.6333,-106.4
74735,"Jayton, Tx.",33.0167,-100.9833
74740,Kimble County Airport,30.5167,-99.7667
74750,"Palestine, Tx.",31.7833,-95.7167
74752,"Dequeen, Ar.",34.1167,-94.2833
74753,"Winnfield, La.",31.9,-92.7833
74754,Alexandria International Airport,31.55,-92.9333
74755,"Claiborne Range, Airways Facilities Sector",31.1333,-92.5667
74769,"Okolona, Ms.",34.0833,-88.8667
74775,Tyndall Air Force Base,30.0667,-85.5833
74777,Hurlburt Field,30.4167,-86.6833
74778,"Eglin Air Force Base Range No. 52, Fl.",30.5667,-86.3167
74780,"Fort Stewart Reservation, Ga",31.9,-81.6333
74781,Moody Air Force Base,30.9667,-83.2
74788,"Macdill Air Force Base, Fl.",27.85,-82.5
74790,Shaw Air Force Base,33.9667,-80.4833
74791,Myrtle Beach Air Force Base,33.6833,-78.9333
74792,"Poinsett Range, Sumpter",33.85,-80.4833
74794,"Cocoa Beach, Cape Canaveral Air Force Station Skid Strip",28.4667,-80.5667
74795,Cocoa / Patrick Air Force Base,28.2333,-80.6
74796,Avon Park Gunnery Range,27.65,-81.3333
78514,"Aquadilla, Rafael Hernandez Airport",18.5,-67.1333
78535,Roosevelt Roads Puerto Rico,18.25,-65.1333
89024,Navy Operated Automatic Meteorological Observing System,-77.5167,-23.7333
89108,Henry,-89,-0.3
89284,Navy Operated Automatic Meteorological Observing System,-75.9167,-83.9167
89705,University Wi Id 8932,-81.5,3.7333
89768,Minna Bluff,-78.55,166.7
89769,Linda,-78.5,168.35
89861,Sandra,-74.4833,160.4833
89862,Navy Operated Automatic Meteorological Observing System,-74.7,161.5667
89863,Gill,-80.0333,-178.6333
91066,"Sand Island, Henderson Field Airport",28.2167,-177.3667
91158,Princeville Kauai,22.2167,-159.45
91162,Pmrf Barking Sands,22.0333,-159.7833
91163,Port Allen Airport,21.9,-159.6
91165,Lihue Airport,21.9833,-159.3333
91166,Makahuena Pt / Kauai,21.8667,-159.45
91168,Kapaa / Kauiai,22.0667,-159.4
91170,Wheeler Air Force Base / Oahu,21.4833,-158.0333
91176,Mcbh Kaneohe Bay Hawaii,21.45,-157.75
91178,Kalaeloa Airport,21.3167,-158.0667
91182,Honolulu International Airport,21.3333,-157.95
91186,"Kaunakakai, Molokai Airport",21.15,-157.1
91190,Kahului Airport,20.9,-156.4333
91212,"Agana, Guam International Airport",13.4833,144.8
91217,"Guam, Mariana Island",13.9167,144.8333
91218,"Andersen, Mariana Is, Andersen Air Force Base",13.5833,144.9333
91221,"Rota Island, N. Mariana Is, Rota International Airport",14.1833,145.25
91232,"Saipan Island, Saipan International Airport",15.1167,145.7333
